model,fold,accuracy,f1_score,roc_auc
majority,1,0.5294,0.6923,0.5
majority,2,0.5455,0.7059,0.5
majority,3,0.5152,0.68,0.5
majority,4,0.5152,0.68,0.5
majority,5,0.5152,0.68,0.5
logistic_regression,1,0.7059,0.7222,0.8125
logistic_regression,2,0.7273,0.7692,0.7963
logistic_regression,3,0.6667,0.6207,0.864
logistic_regression,4,0.5455,0.5161,0.761
logistic_regression,5,0.7879,0.8108,0.8603
svm_linear,1,0.7353,0.7429,0.809
svm_linear,2,0.697,0.75,0.7667
svm_linear,3,0.697,0.7059,0.7794
svm_linear,4,0.6061,0.6061,0.7353
svm_linear,5,0.8182,0.8333,0.8566
svm_rbf,1,0.7353,0.7273,0.7743
svm_rbf,2,0.6364,0.6667,0.7185
svm_rbf,3,0.7879,0.7586,0.8529
svm_rbf,4,0.6364,0.5714,0.7904
svm_rbf,5,0.7576,0.75,0.8162
random_forest,1,0.6471,0.7,0.7847
random_forest,2,0.6061,0.6486,0.7407
random_forest,3,0.8182,0.8235,0.8787
random_forest,4,0.6667,0.6207,0.75
random_forest,5,0.697,0.6875,0.8125
xgboost,1,0.6765,0.7027,0.7569
xgboost,2,0.6667,0.7179,0.7185
xgboost,3,0.7879,0.8108,0.8897
xgboost,4,0.6364,0.6,0.7279
xgboost,5,0.697,0.6875,0.8382
