config,fold,accuracy,balanced_accuracy,f1_score,macro_f1,roc_auc
svm_linear|baseline_acoustic(625d),1,0.7059,0.7049,0.7222,0.7049,0.8056
svm_linear|baseline_acoustic(625d),2,0.7273,0.7278,0.7429,0.7263,0.8074
svm_linear|baseline_acoustic(625d),3,0.697,0.6985,0.6875,0.6967,0.8346
svm_linear|baseline_acoustic(625d),4,0.6061,0.6066,0.6061,0.6061,0.7353
svm_linear|baseline_acoustic(625d),5,0.7879,0.7849,0.8108,0.7847,0.8419
svm_linear|prosody_only(11d),1,0.5294,0.5208,0.6,0.5143,0.4722
svm_linear|prosody_only(11d),2,0.5455,0.5389,0.5946,0.5387,0.5167
svm_linear|prosody_only(11d),3,0.6364,0.6379,0.625,0.636,0.3824
svm_linear|prosody_only(11d),4,0.4848,0.5,0.0,0.3265,0.4926
svm_linear|prosody_only(11d),5,0.5758,0.5735,0.6111,0.5722,0.4265
svm_linear|fluency_only(4d),1,0.5882,0.6007,0.5,0.575,0.4514
svm_linear|fluency_only(4d),2,0.4545,0.5,0.0,0.3125,0.4667
svm_linear|fluency_only(4d),3,0.4848,0.5,0.0,0.3265,0.3199
svm_linear|fluency_only(4d),4,0.4848,0.5,0.0,0.3265,0.3051
svm_linear|fluency_only(4d),5,0.5758,0.5846,0.4167,0.5417,0.3493
svm_linear|prosody_and_fluency(15d),1,0.5294,0.5243,0.5789,0.5228,0.5729
svm_linear|prosody_and_fluency(15d),2,0.4545,0.5,0.0,0.3125,0.3963
svm_linear|prosody_and_fluency(15d),3,0.4848,0.5,0.0,0.3265,0.3456
svm_linear|prosody_and_fluency(15d),4,0.4848,0.5,0.0,0.3265,0.3787
svm_linear|prosody_and_fluency(15d),5,0.6364,0.6342,0.6667,0.6333,0.3787
svm_linear|baseline_plus_prosody(636d),1,0.7353,0.7361,0.7429,0.7351,0.8056
svm_linear|baseline_plus_prosody(636d),2,0.7273,0.7278,0.7429,0.7263,0.8111
svm_linear|baseline_plus_prosody(636d),3,0.7273,0.7298,0.7097,0.7263,0.8382
svm_linear|baseline_plus_prosody(636d),4,0.6364,0.636,0.6471,0.636,0.7463
svm_linear|baseline_plus_prosody(636d),5,0.7879,0.7868,0.8,0.7871,0.8419
svm_linear|baseline_plus_fluency(629d),1,0.7059,0.7049,0.7222,0.7049,0.8056
svm_linear|baseline_plus_fluency(629d),2,0.7273,0.7278,0.7429,0.7263,0.7926
svm_linear|baseline_plus_fluency(629d),3,0.697,0.6985,0.6875,0.6967,0.8309
svm_linear|baseline_plus_fluency(629d),4,0.6061,0.6066,0.6061,0.6061,0.7463
svm_linear|baseline_plus_fluency(629d),5,0.7576,0.7555,0.7778,0.7556,0.8382
svm_linear|all(640d),1,0.7059,0.7049,0.7222,0.7049,0.8056
svm_linear|all(640d),2,0.6667,0.6556,0.7179,0.6553,0.7074
svm_linear|all(640d),3,0.7273,0.7298,0.7097,0.7263,0.8382
svm_linear|all(640d),4,0.6364,0.636,0.6471,0.636,0.761
svm_linear|all(640d),5,0.7879,0.7868,0.8,0.7871,0.8456
