config,fold,accuracy,balanced_accuracy,f1_score,macro_f1,roc_auc
logistic_regression|all,1,0.7353,0.7361,0.7429,0.7351,0.809
logistic_regression|all,2,0.6667,0.6667,0.6857,0.6654,0.8185
logistic_regression|all,3,0.7273,0.7316,0.6897,0.7232,0.8529
logistic_regression|all,4,0.6061,0.6085,0.5806,0.6046,0.7647
logistic_regression|all,5,0.8182,0.8162,0.8333,0.8167,0.8529
logistic_regression+pca|all,1,0.6176,0.6111,0.6667,0.6092,0.7674
logistic_regression+pca|all,2,0.7879,0.7889,0.8,0.7871,0.8259
logistic_regression+pca|all,3,0.7273,0.7298,0.7097,0.7263,0.8272
logistic_regression+pca|all,4,0.6061,0.6085,0.5806,0.6046,0.7721
logistic_regression+pca|all,5,0.7273,0.7261,0.7429,0.7263,0.8088
logistic_regression+selectkbest|all,1,0.6471,0.6458,0.6667,0.6458,0.7153
logistic_regression+selectkbest|all,2,0.6061,0.5944,0.6667,0.5926,0.6852
logistic_regression+selectkbest|all,3,0.7576,0.7555,0.7778,0.7556,0.7206
logistic_regression+selectkbest|all,4,0.7576,0.7592,0.75,0.7574,0.7794
logistic_regression+selectkbest|all,5,0.697,0.6967,0.7059,0.6967,0.7279
svm_linear|all,1,0.7059,0.7049,0.7222,0.7049,0.8056
svm_linear|all,2,0.6667,0.6556,0.7179,0.6553,0.7074
svm_linear|all,3,0.7273,0.7298,0.7097,0.7263,0.8382
svm_linear|all,4,0.6364,0.636,0.6471,0.636,0.761
svm_linear|all,5,0.7879,0.7868,0.8,0.7871,0.8456
svm_linear+pca|all,1,0.7647,0.7569,0.8,0.7571,0.8056
svm_linear+pca|all,2,0.7273,0.7278,0.7429,0.7263,0.8333
svm_linear+pca|all,3,0.697,0.7004,0.6667,0.6944,0.8051
svm_linear+pca|all,4,0.6364,0.6379,0.625,0.636,0.75
svm_linear+pca|all,5,0.697,0.6949,0.7222,0.6944,0.7831
svm_linear+selectkbest|all,1,0.5882,0.5868,0.6111,0.5868,0.7222
svm_linear+selectkbest|all,2,0.6061,0.5944,0.6667,0.5926,0.6852
svm_linear+selectkbest|all,3,0.7576,0.7555,0.7778,0.7556,0.739
svm_linear+selectkbest|all,4,0.6061,0.6085,0.5806,0.6046,0.7279
svm_linear+selectkbest|all,5,0.6667,0.6654,0.6857,0.6654,0.7426
